GEOID,p_white
01001020100,79.2
01001020200,36.8
01001020300,64.0
01001020400,87.5
01001020501,82.5
01001020502,81.5
01001020503,73.3
01001020600,75.4
01001020700,76.2
01001020801,89.7
01001020803,75.0
01001020804,81.9
01001020805,88.9
01001020901,79.6
01001020902,82.0
01001021000,77.9
01001021100,44.3
01003010100,73.3
01003010200,86.4
01003010300,77.6
01003010400,86.1
01003010500,85.3
01003010600,35.9
01003010704,83.9
01003010706,80.8
01003010707,78.2
01003010708,82.9
01003010709,90.2
01003010710,83.5
01003010711,74.7
01003010800,66.2
01003010903,71.4
01003010904,93.0
01003010906,89.2
01003010907,93.1
01003010908,95.6
01003011000,80.0
01003011102,86.0
01003011103,89.2
01003011104,85.6
01003011201,91.1
01003011202,83.2
01003011300,92.9
01003011409,89.4
01003011410,89.8
01003011411,99.2
01003011412,98.2
01003011413,84.1
01003011414,96.3
01003011415,98.1
01003011416,99.0
01003011417,100.0
01003011418,100.0
01003011419,96.4
01003011501,82.2
01003011503,84.4
01003011504,88.5
01003011601,97.4
01003011603,99.2
01003011604,98.4
01005950100,44.1
01005950200,35.1
01005950300,49.2
01005950400,49.7
01005950500,72.2
01005950600,41.3
01005950700,53.4
01005950800,45.3
01005950900,34.3
01007010001,93.6
01007010005,94.9
01007010006,85.9
01007010007,89.3
01007010008,88.8
01007010009,35.7
01007010010,81.3
01007010011,71.9
01009050103,84.1
01009050104,97.0
01009050105,90.7
01009050106,90.2
01009050107,92.9
01009050200,91.8
01009050301,98.5
01009050302,92.7
01009050400,93.0
01009050501,93.8
01009050502,89.5
01009050601,94.5
01009050603,97.8
01009050604,95.1
01009050701,97.4
01009050702,99.5
01011952100,2.5
01011952201,29.5
01011952202,21.9
01011952500,42.1
01013952700,43.1
01013952800,72.1
01013952900,36.3
01013953000,61.2
01013953100,27.2
01013953200,54.3
01013953300,92.9
01013953400,41.8
01013953500,66.7
01015000200,28.2
01015000300,21.3
01015000400,34.9
01015000500,4.5
01015000600,27.8
01015000700,39.2
01015000800,44.4
01015000900,83.6
01015001000,63.8
01015001101,82.1
01015001102,88.5
01015001103,77.0
01015001201,62.8
01015001202,64.6
01015001300,85.1
01015001400,76.6
01015001501,81.5
01015001502,89.5
01015001600,74.0
01015001700,55.5
01015001801,88.7
01015001802,81.0
01015002001,98.2
01015002002,91.8
01015002101,68.2
01015002102,76.4
